,RAh,RAm,RAs,DECsign,DECd,DECm,DECs,Catalog,Type,RA/deg,DEC/deg
8618,13.0,10.0,53.43599999999782,-,2.0,28.0,41.48400000000052,LRG,FRI,197.72265,-2.47819
8621,13.0,15.0,9.93600000000754,+,8.0,41.0,44.59199999999882,LRG,FRII,198.7914,8.69572
8623,13.0,16.0,13.547999999997415,+,9.0,32.0,36.708000000001846,LRG,FRI,199.05645,9.54353
8629,13.0,19.0,38.71200000000656,-,0.0,49.0,40.90800000000016,LRG,COMPACT,199.9113,-0.82803
8631,13.0,20.0,17.556000000000438,+,4.0,30.0,37.40400000000044,LRG,FRI,200.07315,4.51039
8632,13.0,20.0,21.44400000000033,+,17.0,43.0,12.395999999993704,LRG,FRII,200.08935,17.72011
8634,13.0,21.0,18.828000000002163,+,11.0,6.0,49.39200000000256,LRG,FRII,200.32845,11.11372
8636,13.0,23.0,2.472000000004897,+,17.0,28.0,32.91599999999704,LRG,FRI,200.7603,17.47581
8637,13.0,23.0,21.04800000000509,+,3.0,8.0,2.7960000000006247,LRG,FRI,200.8377,3.13411
8651,13.0,32.0,56.36399999999952,+,2.0,0.0,46.51199999999936,LRG,FRII,203.23485,2.01292
8654,13.0,34.0,53.36400000000182,-,1.0,32.0,38.50800000000021,LRG,FRII,203.72235,-1.54403
8661,13.0,38.0,8.051999999998287,-,6.0,27.0,11.195999999998849,LRG,FRII,204.53355,-6.45311
8669,13.0,42.0,43.56000000000464,+,5.0,4.0,31.51200000000096,LRG,FRI,205.6815,5.07542
8676,13.0,44.0,23.74800000000392,+,14.0,9.0,15.299999999997596,LRG,COMPACT,206.09895,14.15425
8680,13.0,45.0,29.484000000009303,+,5.0,49.0,52.89600000000036,LRG,FRI,206.37285000000003,5.83136
8681,13.0,45.0,32.760000000006784,+,5.0,46.0,10.416000000000878,LRG,FRII,206.3865,5.76956
8683,13.0,47.0,33.43199999999797,+,12.0,17.0,24.10799999999924,LRG,COMPACT,206.8893,12.29003
8688,13.0,51.0,24.552000000009286,+,8.0,52.0,16.391999999997182,LRG,FRII,207.8523,8.87122
8690,13.0,52.0,14.55600000000274,+,12.0,34.0,1.7040000000007185,LRG,FRI,208.06065,12.56714
8692,13.0,52.0,56.35200000000637,+,11.0,7.0,7.715999999999497,LRG,COMPACT,208.2348,11.11881
8700,13.0,57.0,1.5119999999977551,+,1.0,4.0,39.68400000000013,LRG,FRII,209.25629999999995,1.07769
8701,13.0,57.0,4.355999999998801,+,19.0,19.0,8.111999999994737,LRG,FRII,209.26815,19.31892
8706,14.0,3.0,13.284000000004852,+,6.0,10.0,8.184000000000324,LRG,FRI,210.80535,6.16894
8715,14.0,8.0,18.49200000000593,+,0.0,13.0,9.515999999999991,LRG,COMPACT,212.07705,0.21931
8717,14.0,8.0,32.280000000001934,+,0.0,31.0,33.88799999999989,LRG,FRII,212.1345,0.52608
8718,14.0,8.0,32.712000000004764,-,1.0,31.0,19.48800000000041,LRG,COMPACT,212.1363,-1.52208
8719,14.0,8.0,37.716000000000776,+,2.0,48.0,29.41200000000009,LRG,FRII,212.15715,2.80817
8720,14.0,9.0,14.904000000006192,-,3.0,17.0,3.6959999999999127,LRG,COMPACT,212.3121,-3.28436
8721,14.0,9.0,16.740000000000634,+,6.0,1.0,39.39600000000048,LRG,FRI,212.31975,6.02761
8722,14.0,9.0,23.54399999999885,-,0.0,4.0,36.40799999999999,LRG,COMPACT,212.3481,-0.07678
8723,14.0,9.0,28.94399999999905,-,1.0,57.0,20.304,LRG,FRII,212.3706,-1.95564
8724,14.0,9.0,48.24000000000396,-,2.0,30.0,55.90800000000016,LRG,COMPACT,212.451,-2.51553
