Distance,Source1,Source2,Status
0.0433894420751997,13194,13198,diff
0.0434118813617337,4799,7131,diff
0.0434171023627711,256,6153,diff
0.0434176781229237,1454,6153,diff
0.0437566964438981,256,3709,diff
0.0437572728485403,1454,3709,diff
0.0438060995228966,6153,6955,diff
0.0441437699972546,3709,6955,diff
0.0441579557239502,15591,15597,diff
0.044191017203725,12671,12672,diff
0.0447768024253456,3722,7021,diff
0.0448099827047506,3722,8463,diff
0.0448204612489925,6315,7021,diff
0.0448317451494125,543,3722,diff
0.044831937816866,1601,3722,diff
0.0448556287352822,6315,8463,diff
0.0448774494710136,543,6315,diff
0.0448776422883834,1601,6315,diff
0.0450582629806382,16799,16807,diff
0.0452366286060348,1603,7021,diff
0.0452717281959349,13225,13228,diff
0.0454962371913408,1603,8463,diff
0.0455196306788026,543,1603,diff
0.0455197946245565,1601,1603,diff
0.0458684400800937,14623,14633,diff
0.0464186827427973,7021,14141,diff
0.0466722054315435,8463,14141,diff
0.0466957414898951,543,14141,diff
0.0466959079151842,1601,14141,diff
0.0474437793725901,14632,14644,diff
0.0474969888329562,9990,12671,diff
0.0480079278363941,13430,13445,diff
0.0488251050202532,13887,13888,diff
0.0498373034091848,14633,14644,diff
0.0501318446882227,3722,4799,diff
0.0501850670858788,4799,6315,diff
0.0505711745933989,1603,4799,diff
0.0512836850090863,13165,13168,diff
0.0517943770719511,4799,14141,diff
0.0525592468157553,9754,13645,diff
0.0525664703949442,5493,13645,diff
0.0527674678258591,17171,17175,diff
0.0529441971383939,13399,13410,diff
0.0530987208769773,12884,12896,diff
0.0531157232670547,17836,17842,diff
0.054052567534452,14217,14223,diff
0.0545163815535806,17570,17573,diff
0.0549880149694194,14938,14942,diff
0.0560952306232988,13888,13898,diff
0.0562618685572341,18164,18171,diff
0.0565639499871481,13720,13728,diff
0.0573011599830244,16028,16038,diff
0.05851956996513,14612,14623,diff
0.061029931805833,14361,14371,diff
0.0616678280819257,17821,17826,diff
0.0616736099366523,16795,16807,diff
0.0618950261223216,13635,13645,diff
0.0622526315573445,18260,18264,diff
0.0622713961962497,15277,15280,diff
0.0623169604320702,9912,16943,diff
0.06287360464192,17789,17802,diff
0.0628835288204389,15840,15842,diff
0.06330163272688,16038,16053,diff
0.0645222044365064,13444,13456,diff
0.0650059299263844,16756,16758,diff
0.0652594653003263,16737,16743,diff
0.0662018078780318,15555,15560,diff
0.0666504750180525,14623,14644,diff
0.0667937172610989,13887,13898,diff
0.06731528747131,15574,15586,diff
0.0697393216411959,7168,13119,diff
0.0698284451923888,9880,9881,diff
0.0699686993289309,6929,9881,diff
0.0700230636934313,9788,13119,diff
0.0712029612982697,16578,16591,diff
0.0716356916734632,18103,18104,diff
0.071869308242943,14919,14923,diff
0.0719236457003018,16393,16402,diff
